Year (yyyy),Month (MON),Vessel,Contributor,Subarea,Survey name,Density estimate (g m-2),CV of density estimate (%),CV estimation method,Survey area (km2),Echosounder model,Frequency used for biomass estimate (kHz),Other frequencies available,Method used for target identification,dB-difference window,TS model used,Depth range integrated (m),Time of day sampled ,Stratum name,Survey design description,Reference,Note,empty1,sourceexl,Net,Tow design,ASAM_NOTES
2019,"Dec,Jan,Feb,Mar",several,"ARK,China,Korea,Norway,Ukraine,United Kingdom",48.1,2019 synoptic,67.72112684,23.91574601,Jolly and Hampton,48654,"EK60,ES70,ES80,EK80",120,various,Swarms identification,NA,full SDWBA (ASAM 2010 parameterisation),250,day and night,SSI,As per CCAMLR 2000 survey,,,,synoptic,,,
2019,"Dec,Jan,Feb,Mar",several,"ARK,China,Korea,Norway,Ukraine,United Kingdom",48.2,2019 synoptic,77.83964515,30.53981024,Jolly and Hampton,24409,"EK60,ES70,ES80,EK80",120,various,Swarms identification,NA,full SDWBA (ASAM 2010 parameterisation),250,day and night,SOI,As per CCAMLR 2000 survey,,,,synoptic,,,
2019,"Dec,Jan,Feb,Mar",several,"ARK,China,Korea,Norway,Ukraine,United Kingdom",48.3,2019 synoptic,9.092878215,22.2208224,Jolly and Hampton,25000,"EK60,ES70,ES80,EK80",120,various,Swarms identification,NA,full SDWBA (ASAM 2010 parameterisation),250,day and night,SG,As per CCAMLR 2000 survey,,,,synoptic,,,
2019,"Dec,Jan,Feb,Mar",several,"ARK,China,Korea,Norway,Ukraine,United Kingdom",48.4,2019 synoptic,25.9440078,16.16530256,Jolly and Hampton,62274,"EK60,ES70,ES80,EK80",120,various,Swarms identification,NA,full SDWBA (ASAM 2010 parameterisation),250,day and night,Sand,As per CCAMLR 2000 survey,,,,synoptic,,,
2019,"Dec,Jan,Feb,Mar",several,"ARK,China,Korea,Norway,Ukraine,United Kingdom",48.1,2019 synoptic,56.03156687,36.89290425,Jolly and Hampton,43865,"EK60,ES70,ES80,EK80",120,various,Swarms identification,NA,full SDWBA (ASAM 2010 parameterisation),250,day and night,Elephant Island,As per CCAMLR 2000 survey,,,,synoptic,,,
2019,"Dec,Jan,Feb,Mar",several,"ARK,China,Korea,Norway,Ukraine,United Kingdom",48.1,2019 synoptic,9.888204883,18.22463023,Jolly and Hampton,38524,"EK60,ES70,ES80,EK80",120,various,Swarms identification,NA,full SDWBA (ASAM 2010 parameterisation),250,day and night,West,As per CCAMLR 2000 survey,,,,synoptic,,,
2019,"Dec,Jan,Feb,Mar",several,"ARK,China,Korea,Norway,Ukraine,United Kingdom",48.1,2019 synoptic,102.4346965,18.29492378,Jolly and Hampton,24479,"EK60,ES70,ES80,EK80",120,various,Swarms identification,NA,full SDWBA (ASAM 2010 parameterisation),250,day and night,Bransfield,As per CCAMLR 2000 survey,,,,synoptic,,,
2019,"Dec,Jan,Feb,Mar",several,"ARK,China,Korea,Norway,Ukraine,United Kingdom",48.1,2019 synoptic,83.01170926,32.39759521,Jolly and Hampton,18151,"EK60,ES70,ES80,EK80",120,various,Swarms identification,NA,full SDWBA (ASAM 2010 parameterisation),250,day and night,Joinville,As per CCAMLR 2000 survey,,,,synoptic,,,
2019,"Dec,Jan,Feb,Mar",several,"ARK,China,Korea,Norway,Ukraine,United Kingdom",48.2,2019 synoptic,58.99355769,65.16650117,Jolly and Hampton,0,"EK60,ES70,ES80,EK80",120,various,Swarms identification,NA,full SDWBA (ASAM 2010 parameterisation),250,day and night,SOF,As per CCAMLR 2000 survey,,,,synoptic,,,
2019,"Dec,Jan,Feb,Mar",several,"ARK,China,Korea,Norway,Ukraine,United Kingdom",48.2,2019 synoptic,170.5593277,27.54752975,Jolly and Hampton,0,"EK60,ES70,ES80,EK80",120,various,Swarms identification,NA,full SDWBA (ASAM 2010 parameterisation),250,day and night,SOC,As per CCAMLR 2000 survey,,,,synoptic,,,
2019,"Dec,Jan,Feb,Mar",several,"ARK,China,Korea,Norway,Ukraine,United Kingdom",48.3,2019 synoptic,22.33682075,19.5615218,Jolly and Hampton,0,"EK60,ES70,ES80,EK80",120,various,Swarms identification,NA,full SDWBA (ASAM 2010 parameterisation),250,day and night,WCB,As per CCAMLR 2000 survey,,,,synoptic,,,
2000,Jan,several,CCAMLR2000,48.1,"CCAMLR2000, Antarctic Peninsula",19.6,31.91,Jolly and Hampton,473318,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day,AP,As per CCAMLR 2000 survey,,,,synoptic,,,
2000,Jan,several,CCAMLR2000,48,"CCAMLR2000, Scotia Sea",31.47,16,Jolly and Hampton,1109789,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day,SS,As per CCAMLR 2000 survey,,,,synoptic,,,
2000,Jan,several,CCAMLR2000,48.4,"CCAMLR2000, East Scotia Sea",1.8,38.2,Jolly and Hampton,321800,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day,ESS,As per CCAMLR 2000 survey,,,,synoptic,,,
2000,Jan,several,CCAMLR2000,48.1,"CCAMLR2000, South Shetland Islands",136,16.32,Jolly and Hampton,48654,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day,SSI,As per CCAMLR 2000 survey,,,,synoptic,,,
2000,Jan,several,CCAMLR2000,48.2,"CCAMLR2000, South Orkney Islands",319.4,55,Jolly and Hampton,24409,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day,SOI,As per CCAMLR 2000 survey,,,,synoptic,,,
2000,Jan,several,CCAMLR2000,48.3,"CCAMLR2000, South Georgia",33.8,35.7,Jolly and Hampton,25000,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day,SG,As per CCAMLR 2000 survey,,,,synoptic,,,
2000,Jan,several,CCAMLR2000,48.4,"CCAMLR2000, South Sandwich Islands",4,29.8,Jolly and Hampton,62274,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day,Sand,As per CCAMLR 2000 survey,,,,synoptic,,,
2020,"Jan, Feb",RV Atlantida,Russia,48.2,Scotia Sea,58.48,10.91,Jolly and Hampton,214195,EK80,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day,Scotia Sea (SS),As per CCAMLR 2000 survey,Kasatkina et al 2021. WG-ASAM-2021/04rev1,,,synoptic,6m2 IMKT,Non-targeted Oblique haul to 250 m,
2020,"Jan, Feb",RV Atlantida,Russia,48.1,South Shetland Island,73.06,25.62,Jolly and Hampton,120980,EK80,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day,South Shetland Island (SSI),As per CCAMLR 2000 survey,Kasatkina et al 2021. WG-ASAM-2021/04rev1,,,synoptic,6m2 IMKT,Non-targeted Oblique haul to 250 m,
2020,"Jan, Feb",RV Atlantida,Russia,48.1,Bransfield Strait,82.05,21,Jolly and Hampton,77707,EK80,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day,Bransfield Strait (BS),As per CCAMLR 2000 survey,Kasatkina et al 2021. WG-ASAM-2021/04rev1,,,synoptic,6m2 IMKT,Non-targeted Oblique haul to 250 m,
2020,"Jan, Feb",RV Atlantida,Russia,48.1/48.2,Elephant Island,114.93,7.73,Jolly and Hampton,53921,EK80,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day,Elephant Island (EL),As per CCAMLR 2000 survey,Kasatkina et al 2021. WG-ASAM-2021/04rev1,,,synoptic,6m2 IMKT,Non-targeted Oblique haul to 250 m,
2020,"Jan, Feb",RV Atlantida,Russia,48.2,South Orkney Island,557.81,25,Jolly and Hampton,9943,EK80,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day,South Orkney Island (SOI),As per CCAMLR 2000 survey,Kasatkina et al 2021. WG-ASAM-2021/04rev1,,,,6m2 IMKT,Non-targeted Oblique haul to 250 m,
2013,Dec,F/V Fu Rong Hai,China,48.1,S481FRH2013-14,17.95,34.87,Jolly and Hampton,23302,EK60,120,"38, 70",Swarms identification,fixed (-20 to 20),full SDWBA (ASAM 2010 parameterisation),250,day and night,West,Parallel transects,Wang et al. 2021 WG-ASAM 2021/13,dB-difference window was applied to the detected aggregations  following the swarm-based identification method template by SG-ASAM 2017,,CHN,,,
2015,Mar,F/V Fu Rong Hai,China,48.1,S481FRH2014-15,19.57,42.84,Jolly and Hampton,20437,EK60,120,"38, 70",Swarms identification,fixed (-20 to 20),full SDWBA (ASAM 2010 parameterisation),250,day and night,West,Parallel transects,Wang et al. 2021 WG-ASAM 2021/13,,,CHN,,,
2016,Jan,F/V Fu Rong Hai,China,48.1,S481FRH2015-16,38.47,26.16,Jolly and Hampton,23302,EK60,120,"38, 70",Swarms identification,fixed (-20 to 20),full SDWBA (ASAM 2010 parameterisation),250,day and night,West,Parallel transects,Wang et al. 2021 WG-ASAM 2021/13,,,CHN,,,
2018,Feb,F/V Fu Rong Hai,China,48.1,S481FRH2017-18,76.99,19.05,Jolly and Hampton,23302,EK60,120,"38, 70",Swarms identification,fixed (-20 to 20),full SDWBA (ASAM 2010 parameterisation),250,day and night,West,Parallel transects,Wang et al. 2021 WG-ASAM 2021/13,,,CHN,,,
2019,Feb,F/V Fu Rong Hai,China,48.1,S481FRH2018-19,62.85,26.65,Jolly and Hampton,18870,EK60,120,"38, 70",Swarms identification,fixed (-20 to 20),full SDWBA (ASAM 2010 parameterisation),250,day and night,West,Parallel transects,Wang et al. 2021 WG-ASAM 2021/13,"As a contribution to the joint effort on the large-scale krill survey in Area 48, 2019",,CHN,,,
2013,Dec,F/V Fu Rong Hai,China,48.1,S481FRH2013-14,25.13,24.13,Jolly and Hampton,22416,EK60,120,"38, 70",Swarms identification,fixed (-20 to 20),full SDWBA (ASAM 2010 parameterisation),250,day and night,Bransfield Strait (BS),Parallel transects,Wang et al. 2021 WG-ASAM 2021/13,dB-difference window was applied to the detected aggregations  following the swarm-based identification method template by SG-ASAM 2017,,CHN,,,
2015,Mar,F/V Fu Rong Hai,China,48.1,S481FRH2014-15,17.62,46.02,Jolly and Hampton,22416,EK60,120,"38, 70",Swarms identification,fixed (-20 to 20),full SDWBA (ASAM 2010 parameterisation),250,day and night,Bransfield Strait (BS),Parallel transects,Wang et al. 2021 WG-ASAM 2021/13,,,CHN,,,
2016,Jan,F/V Fu Rong Hai,China,48.1,S481FRH2015-16,46.15,32.89,Jolly and Hampton,22416,EK60,120,"38, 70",Swarms identification,fixed (-20 to 20),full SDWBA (ASAM 2010 parameterisation),250,day and night,Bransfield Strait (BS),Parallel transects,Wang et al. 2021 WG-ASAM 2021/13,,,CHN,,,
2018,Feb,F/V Fu Rong Hai,China,48.1,S481FRH2017-18,35.6,32.65,Jolly and Hampton,22416,EK60,120,"38, 70",Swarms identification,fixed (-20 to 20),full SDWBA (ASAM 2010 parameterisation),250,day and night,Bransfield Strait (BS),Parallel transects,Wang et al. 2021 WG-ASAM 2021/13,,,CHN,,,
2019,Feb,F/V Fu Rong Hai,China,48.1,S481FRH2018-19,77.17,19.65,Jolly and Hampton,22416,EK60,120,"38, 70",Swarms identification,fixed (-20 to 20),full SDWBA (ASAM 2010 parameterisation),250,day and night,Bransfield Strait (BS),Parallel transects,Wang et al. 2021 WG-ASAM 2021/13,"As a contribution to the joint effort on the large-scale krill survey in Area 48, 2019",,CHN,,,
